"Probe","Entrez","Symbol","pVal","logFC","CI.L","CI.R","AveExpr","IQR","Z"
"227336_at","1840","DTX1",7.70126995002035e-05,0.502810518526044,0.351106158483696,0.654514878568391,7.6260403913209,0.542745629171558,6.49624451160103
"218204_s_at","79443","FYCO1",7.91273375299637e-05,0.783381844981589,0.546079436447688,1.02068425351549,6.14408106605416,0.835581744760804,6.47034484668774
"205889_s_at","9832","JAKMIP2",8.07546025367032e-05,0.950493473348431,0.661703246575118,1.23928370012174,7.44100573627636,0.906532252946636,6.45093578331264
"203910_at","9411","ARHGAP29",8.4776337953834e-05,1.34704596348838,0.934821285282097,1.75927064169466,7.92015029993526,1.18561490708863,6.40478415781802
"204590_x_at","65082","VPS33A",8.83695902853545e-05,0.414410264051126,0.286810747382812,0.542009780719441,5.54369812721349,0.384549997575021,6.36557362244228
"224496_s_at","84314","TMEM107",9.12150371957792e-05,0.644352334937659,0.44501883525942,0.843685834615897,4.7156525447914,0.483626590867418,6.3357668355616
"210889_s_at","2213","FCGR2B",9.44944090253749e-05,1.09069603464419,0.751512515183155,1.42987955410522,4.42156389393829,0.637035278025572,6.30267717989232
"204477_at","5877","RABIF",0.000114662376366042,0.549615175618978,0.373705305568579,0.725525045669378,7.16290844296059,0.373782572164886,6.12385049175784
"1553613_s_at","2296","FOXC1",0.000122131342752007,1.40194211534674,0.948985738689195,1.85489849200429,5.21118582742318,1.20522672929588,6.06638230011509
"221436_s_at","83461","CDCA3",0.000127168847908852,-0.409619253969365,-0.542767031966812,-0.276471475971918,5.18397640027928,0.264024905506419,-6.02979448741044
"236128_at","7644","ZNF91",0.000141501578076242,0.624856389386204,0.418464274044056,0.831248504728353,4.88813970510063,0.452863575704459,5.9339404568177
"214762_at","534","ATP6V1G2",0.000145896743300848,-0.912249468693372,-1.21495793423041,-0.609541003156339,9.54741054087167,1.00645789669971,-5.90670285836539
"1552575_a_at","135398","C6orf141",0.000150657727973991,-0.280428949538764,-0.373933700084109,-0.186924198993419,3.88664645807222,0.174121723652296,-5.87821193993165
